Fe,Co,Ni,V,Mo,Cr,Cu,Mn,C,W,Ta,Nb,Al,Ti,Si,Type,PrcntRedArea,AnnTemp,AnnTime,AnnAtm,AnnCoolRate,AppMagField,ReannTemp,ReannTime,ReannTime,ReannCoolRate,AppMagField,Phase,GrainSize,Ms,Hc,Tc,MuMax,ER,TS,YS,Elong,HV,Cost
65,35,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.47,,973,1927,11.74,,,,,12.16
64,36,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.47,,974,2010,11.07,,,,,12.48
63,37,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.47,,975,2101,10.49,,,,,12.81
62,38,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.47,,975,2195,9.92,,,,,13.14
61,39,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.46,,975,2282,9.37,,,,,13.47
60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.46,,975,2388,8.91,,,,,13.79
59,41,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.46,,974,2525,8.5,,,,,14.12
58,42,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.46,,973,2657,8.07,,,,,14.45
57,43,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.46,,973,2816,7.64,,,,,14.77
56,44,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.45,,972,3012,7.26,,,,,15.1
55,45,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.45,,970,3189,6.93,,,,,15.43
54,46,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.44,,969,3423,6.67,,,,,15.75
53,47,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.44,,967,3732,6.44,,,,,16.08
52,48,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.43,,965,4192,6.23,,,,,16.4
51,49,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.42,,964,4786,6.03,,,,,16.72
50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.41,,961,5399,5.87,,,,,17.05
49,51,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.4,,959,7342,5.77,,,,,17.37
48,52,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.39,,957,7940,5.74,,,,,17.69
47,53,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.38,,955,7467,5.73,,,,,18.02
46,54,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.37,,952,6587,5.74,,,,,18.34
45,55,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.36,,949,5714,5.73,,,,,18.66
44,56,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.35,,947,5071,5.74,,,,,18.98
43,57,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.34,,944,4524,5.75,,,,,19.3
