,Fe,Co,Ni,V,Mo,Cr,Cu,Mn,C,W,Ta,Nb,Al,Ti,Si,Ms,Hc,Tc,ER,TS,YS,Elong,HV,Cost
85,15,85,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91,,992,19.91,,,,,28.16
86,14,86,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,,1000,19.91,,,,,28.47
87,13,87,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,,1009,19.86,,,,,28.78
88,12,88,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,,1017,19.74,,,,,29.1
89,11,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87,,1026,19.57,,,,,29.41
90,10,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,,1035,19.43,,,,,29.72
91,9,91,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,,1043,19.28,,,,,30.03
92,8,92,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83,,1052,19.05,,,,,30.34
93,7,93,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,,1060,18.78,,,,,30.64
94,6,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81,,1069,18.56,,,,,30.95
95,5,95,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,,1078,18.3,,,,,31.26
96,4,96,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,,1086,18.01,,,,,31.57
97,3,97,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,,1095,17.73,,,,,31.88
98,2,98,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,,1103,17.41,,,,,32.19
99,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,,1112,17.09,,,,,32.49
100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,,1120,16.83,,,,,32.8
101,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23,,724,8.56,,,,,0.42
102,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,,739,11.9,,,,,0.77
103,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,,753,14.13,,,,,1.11
104,97,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,,767,15.94,,,,,1.45
105,96,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,,780,17.64,,,,,1.79
106,95,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,,793,18.7,,,,,2.13
107,94,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,,805,19.72,,,,,2.47
108,93,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,,817,20.53,,,,,2.81
109,92,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,,828,21.21,,,,,3.15
110,91,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32,,839,21.96,,,,,3.48
111,90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,,849,22.64,,,,,3.82
112,89,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34,,859,23.2,,,,,4.16
113,88,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35,,868,23.82,,,,,4.5
114,87,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36,,877,24.33,,,,,4.83
115,86,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37,,885,24.68,,,,,5.17
116,85,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38,,893,24.87,,,,,5.51
117,84,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39,,901,24.91,,,,,5.84
118,83,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,,908,24.81,,,,,6.18
119,82,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,,914,24.64,,,,,6.51
120,81,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,,921,24.33,,,,,6.85
121,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,,927,23.89,,,,,7.18
122,79,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,,932,23.41,,,,,7.52
123,78,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,,937,22.76,,,,,7.85
124,77,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44,,942,22.06,,,,,8.18
125,76,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,,947,21.34,,,,,8.52
126,75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,,951,20.53,,,,,8.85
127,74,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,,954,19.59,,,,,9.18
128,73,27,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,,958,18.67,,,,,9.51
129,72,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,,961,17.82,,,,,9.84
130,71,29,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,,963,16.85,,,,,10.18
131,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,,966,15.94,,,,,10.51
132,69,31,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,,968,15.04,,,,,10.84
133,68,32,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,,970,14.04,,,,,11.17
134,67,33,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,,971,13.24,,,,,11.5
135,66,34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,,973,12.5,,,,,11.83
136,65,35,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,,973,11.74,,,,,12.16
137,64,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,,974,11.07,,,,,12.48
138,63,37,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,,975,10.49,,,,,12.81
139,62,38,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,,975,9.92,,,,,13.14
140,61,39,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,,975,9.37,,,,,13.47
141,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,,975,8.91,,,,,13.79
142,59,41,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,,974,8.5,,,,,14.12
143,58,42,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,,973,8.07,,,,,14.45
144,57,43,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,,973,7.64,,,,,14.77
145,56,44,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,,972,7.26,,,,,15.1
146,55,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,,970,6.93,,,,,15.43
147,54,46,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44,,969,6.67,,,,,15.75
148,53,47,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44,,967,6.44,,,,,16.08
149,52,48,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,,965,6.23,,,,,16.4
150,51,49,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,,964,6.03,,,,,16.72
151,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,,961,5.87,,,,,17.05
152,49,51,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,,959,5.77,,,,,17.37
153,48,52,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39,,957,5.74,,,,,17.69
154,47,53,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38,,955,5.73,,,,,18.02
155,46,54,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37,,952,5.74,,,,,18.34
156,45,55,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36,,949,5.73,,,,,18.66
157,44,56,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35,,947,5.74,,,,,18.98
158,43,57,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34,,944,5.75,,,,,19.3
159,42,58,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32,,941,5.78,,,,,19.62
160,41,59,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,,938,5.82,,,,,19.95
161,40,60,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,,935,5.87,,,,,20.27
162,39,61,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,,932,5.94,,,,,20.59
163,38,62,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,,929,6.06,,,,,20.9
164,37,63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,,925,6.24,,,,,21.22
165,36,64,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,,922,6.51,,,,,21.54
166,35,65,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,,919,6.82,,,,,21.86
167,34,66,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23,,916,7.14,,,,,22.18
168,33,67,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,,913,7.6,,,,,22.5
169,32,68,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21,,909,8.22,,,,,22.82
170,31,69,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,,906,8.83,,,,,23.13
171,30,70,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18,,903,9.53,,,,,23.45
172,29,71,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,,900,10.3,,,,,23.77
173,28,72,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,,897,11.1,,,,,24.08
174,27,73,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15,,889,11.99,,,,,24.4
175,26,74,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13,,897,12.84,,,,,24.71
176,25,75,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,,906,13.61,,,,,25.03
177,24,76,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,,914,14.53,,,,,25.34
178,23,77,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,,923,15.77,,,,,25.66
179,22,78,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03,,932,16.92,,,,,25.97
180,21,79,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,,940,18.04,,,,,26.29
181,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,,949,18.97,,,,,26.6
182,19,81,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,,957,19.39,,,,,26.91
183,18,82,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94,,966,19.62,,,,,27.23
184,17,83,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93,,974,19.78,,,,,27.54
185,16,84,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,,983,19.87,,,,,27.85
186,15,85,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91,,992,19.91,,,,,28.16
187,14,86,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,,1000,19.91,,,,,28.47
188,13,87,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,,1009,19.86,,,,,28.78
189,12,88,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,,1017,19.74,,,,,29.1
190,11,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87,,1026,19.57,,,,,29.41
191,10,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,,1035,19.43,,,,,29.72
192,9,91,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,,1043,19.28,,,,,30.03
193,8,92,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83,,1052,19.05,,,,,30.34
194,7,93,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,,1060,18.78,,,,,30.64
195,6,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81,,1069,18.56,,,,,30.95
196,5,95,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,,1078,18.3,,,,,31.26
197,4,96,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,,1086,18.01,,,,,31.57
198,3,97,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,,1095,17.73,,,,,31.88
199,2,98,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,,1103,17.41,,,,,32.19
200,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,,1112,17.09,,,,,32.49
201,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,,1120,16.83,,,,,32.8
202,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23,84.35,770,11.2,412,241,40,100,0.42
203,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.24,110.61,769,,,,,,0.57
